Country,Date,Sentiment Score,Positive,Negative,ratio
DK,03-08-2020,0.135050505,4,5,0.8
DK,10-08-2020,0.2909375,2,1,2
DK,17-08-2020,0.148194445,1,3,0.333333333
DK,24-08-2020,0.223452381,4,4,1
DK,31-08-2020,0.235188802,4,4,1
DK,07-09-2020,0.211457431,3,3,1
DK,28-09-2020,0.104166667,1,2,0.5
DK,26-10-2020,0.082916667,2,6,0.333333333
DO,23-03-2020,0.330989584,1,1,1
DO,30-03-2020,0.125,1,1,1
DO,27-04-2020,0.1,1,1,1
DO,04-05-2020,0.041666667,1,5,0.2
DO,11-05-2020,0.052380952,2,5,0.4
DO,01-06-2020,0.127272727,1,4,0.25
DO,08-06-2020,0.215151515,1,2,0.5
DO,15-06-2020,0.241666667,2,2,1
DO,13-07-2020,0.341666667,3,2,1.5
DO,27-07-2020,0.193768413,5,4,1.25
DO,17-08-2020,-0.019791667,1,5,0.2
DO,07-09-2020,0.180555556,3,2,1.5
DO,14-09-2020,0.110227273,1,1,1
DO,12-10-2020,0.133333333,2,4,0.5
DZ,18-05-2020,0.151041667,1,1,1
DZ,25-05-2020,0.133333333,1,2,0.5
