Country,Date,Sentiment Score,Positive,Negative,ratio
AT,12-06-2020,0.1125,1,1,1
AT,15-06-2020,0.166666667,1,2,0.5
AT,22-06-2020,0.106675084,2,4,0.5
AT,30-06-2020,0.177020202,1,1,1
AT,11-07-2020,0.0375,1,2,0.5
AT,13-07-2020,0.122727273,1,2,0.5
AT,20-07-2020,0.194642857,1,1,1
AT,02-08-2020,0.222222222,1,2,0.5
AT,03-08-2020,0.125,1,1,1
AT,04-08-2020,0.097083333,1,4,0.25
AT,12-08-2020,0.214583334,1,1,1
AT,16-08-2020,0.233333334,1,1,1
AT,17-08-2020,0.157407408,1,1,1
AT,19-08-2020,0.283333334,1,1,1
AT,20-08-2020,0.375,1,1,1
AT,21-08-2020,0.34375,1,1,1
AT,26-08-2020,0.058630953,1,3,0.333333333
AT,30-08-2020,0.052777778,1,5,0.2
AT,09-09-2020,0.1,1,1,1
AT,15-09-2020,-0.000719246,1,3,0.333333333
AT,23-10-2020,0.098214286,2,6,0.333333333
AU,21-03-2020,0.057849364,3,7,0.428571429
AU,22-03-2020,0.027272727,2,8,0.25
AU,23-03-2020,0.172429398,5,11,0.454545455
AU,24-03-2020,0.127969028,6,11,0.545454545
AU,25-03-2020,0.066906308,2,12,0.166666667
AU,26-03-2020,-0.023313447,3,12,0.25
AU,27-03-2020,0.207337801,7,6,1.166666667
AU,28-03-2020,0.124654993,6,13,0.461538462
AU,30-03-2020,0.171740363,3,4,0.75
AU,31-03-2020,0.104695567,4,5,0.8
AU,01-04-2020,0.18125,2,6,0.333333333
AU,02-04-2020,0.211055495,6,8,0.75
AU,03-04-2020,-0.000714286,2,3,0.666666667
AU,05-04-2020,0.19,2,3,0.666666667
AU,06-04-2020,0.047420205,1,5,0.2
AU,08-04-2020,0.175,3,1,3
AU,09-04-2020,0.247425426,4,4,1
AU,10-04-2020,0.243358586,4,2,2
AU,11-04-2020,0.122727273,1,2,0.5
AU,12-04-2020,0.199206349,2,3,0.666666667
AU,13-04-2020,0.249007937,2,2,1
AU,14-04-2020,0.077777778,1,2,0.5
AU,18-04-2020,0.131985202,8,18,0.444444444
AU,19-04-2020,0.20143263,7,13,0.538461538
AU,22-04-2020,0.19391607,8,10,0.8
AU,23-04-2020,0.211124639,5,7,0.714285714
AU,24-04-2020,0.208949715,8,10,0.8
AU,26-04-2020,0.15643215,9,22,0.409090909
AU,27-04-2020,0.106425651,6,15,0.4
AU,28-04-2020,0.119630102,10,18,0.555555556
AU,29-04-2020,0.07784832,10,36,0.277777778
AU,30-04-2020,0.215444464,10,18,0.555555556
AU,01-05-2020,0.096056598,8,19,0.421052632
AU,02-05-2020,0.080850223,9,24,0.375
AU,03-05-2020,0.135781816,15,26,0.576923077
AU,04-05-2020,0.054165201,4,26,0.153846154
AU,05-05-2020,0.112111771,15,33,0.454545455
AU,06-05-2020,0.080629735,9,23,0.391304348
AU,07-05-2020,0.15508071,14,19,0.736842105
AU,08-05-2020,0.121335042,10,24,0.416666667
AU,09-05-2020,0.210034826,11,15,0.733333333
AU,10-05-2020,0.083793821,3,14,0.214285714
AU,11-05-2020,0.15615919,10,19,0.526315789
AU,12-05-2020,0.150596228,13,28,0.464285714
AU,14-05-2020,0.085132843,12,24,0.5
AU,16-05-2020,0.143411942,12,19,0.631578947
AU,17-05-2020,0.138786616,13,22,0.590909091
AU,18-05-2020,0.097399488,8,11,0.727272727
AU,19-05-2020,0.18665062,10,19,0.526315789
AU,20-05-2020,0.088954358,8,26,0.307692308
AU,21-05-2020,0.152005271,7,11,0.636363636
AU,22-05-2020,0.079559885,9,20,0.45
AU,23-05-2020,0.097210412,10,15,0.666666667
AU,24-05-2020,0.100040025,6,23,0.260869565
AU,25-05-2020,0.192973342,9,10,0.9
AU,26-05-2020,0.099614426,5,15,0.333333333
AU,27-05-2020,0.12914432,7,14,0.5
AU,28-05-2020,0.172664141,5,10,0.5
AU,29-05-2020,0.076440167,8,20,0.4
AU,30-05-2020,0.168795917,10,9,1.111111111
AU,31-05-2020,0.12100158,7,22,0.318181818
AU,01-06-2020,0.172657084,20,22,0.909090909
AU,02-06-2020,0.048703892,5,19,0.263157895
AU,03-06-2020,0.060020743,4,16,0.25
AU,04-06-2020,0.205532367,12,17,0.705882353
AU,06-06-2020,0.12767218,9,18,0.5
AU,07-06-2020,0.10922619,5,16,0.3125
AU,08-06-2020,0.096891605,7,10,0.7
AU,09-06-2020,0.101820403,5,13,0.384615385
AU,10-06-2020,0.142069264,8,12,0.666666667
AU,11-06-2020,0.092490812,4,16,0.25
AU,12-06-2020,0.130900563,6,12,0.5
AU,13-06-2020,0.14888523,9,17,0.529411765
AU,14-06-2020,0.181887401,14,14,1
AU,15-06-2020,0.162774275,10,17,0.588235294
AU,16-06-2020,0.160203674,11,13,0.846153846
AU,17-06-2020,0.197338974,12,21,0.571428571
AU,18-06-2020,0.162213536,17,21,0.80952381
AU,19-06-2020,0.137570578,4,9,0.444444444
AU,20-06-2020,0.15382707,9,23,0.391304348
AU,22-06-2020,0.18197105,9,15,0.6
AU,24-06-2020,0.068687948,8,16,0.5
AU,25-06-2020,0.159950367,12,19,0.631578947
AU,27-06-2020,0.208095092,10,15,0.666666667
AU,28-06-2020,0.271602886,18,7,2.571428571
AU,29-06-2020,0.158773749,7,17,0.411764706
AU,30-06-2020,0.114020576,13,32,0.40625
AU,01-07-2020,0.109743299,20,34,0.588235294
AU,02-07-2020,0.184874156,12,11,1.090909091
AU,04-07-2020,0.126682734,14,24,0.583333333
AU,07-07-2020,0.117487649,21,51,0.411764706
AU,08-07-2020,0.090661795,22,64,0.34375
AU,09-07-2020,0.147948039,15,35,0.428571429
AU,10-07-2020,0.15852397,18,31,0.580645161
AU,11-07-2020,0.154574312,18,32,0.5625
AU,12-07-2020,0.038093134,5,25,0.2
AU,13-07-2020,0.081699626,10,23,0.434782609
AU,14-07-2020,0.213039683,14,16,0.875
AU,17-07-2020,0.189249054,16,21,0.761904762
AU,18-07-2020,0.149531013,20,34,0.588235294
AU,19-07-2020,0.110917381,11,29,0.379310345
AU,20-07-2020,0.184938856,15,21,0.714285714
AU,21-07-2020,0.145728725,13,18,0.722222222
AU,22-07-2020,0.141363613,12,27,0.444444444
AU,23-07-2020,0.131974657,10,22,0.454545455
AU,24-07-2020,0.189761802,18,26,0.692307692
AU,25-07-2020,0.14182941,12,31,0.387096774
AU,27-07-2020,0.203096115,17,19,0.894736842
AU,28-07-2020,0.213127042,18,16,1.125
AU,29-07-2020,0.171898186,15,25,0.6
AU,30-07-2020,0.166296918,13,20,0.65
AU,31-07-2020,0.106446062,12,21,0.571428571
AU,01-08-2020,0.174581755,13,19,0.684210526
AU,02-08-2020,0.196908339,24,35,0.685714286
AU,03-08-2020,0.132410517,16,32,0.5
AU,04-08-2020,0.132109466,16,26,0.615384615
AU,05-08-2020,0.161631974,16,28,0.571428571
AU,11-08-2020,0.173819895,20,22,0.909090909
AU,12-08-2020,0.103728496,14,31,0.451612903
AU,13-08-2020,0.152602224,18,33,0.545454545
AU,14-08-2020,0.199929429,19,19,1
AU,15-08-2020,0.140160802,15,22,0.681818182
AU,16-08-2020,0.125835786,19,31,0.612903226
AU,17-08-2020,0.063642737,7,23,0.304347826
AU,18-08-2020,0.144539539,15,27,0.555555556
AU,19-08-2020,0.226074799,15,23,0.652173913
AU,20-08-2020,0.134493558,15,35,0.428571429
AU,21-08-2020,0.131781058,13,26,0.5
AU,22-08-2020,0.074244707,11,21,0.523809524
AU,23-08-2020,0.090021698,9,25,0.36
AU,24-08-2020,0.159594842,16,30,0.533333333
AU,25-08-2020,0.114671225,10,23,0.434782609
AU,26-08-2020,0.201877922,16,24,0.666666667
AU,27-08-2020,0.229184637,14,13,1.076923077
AU,28-08-2020,0.134868344,12,29,0.413793103
AU,29-08-2020,0.094881854,13,26,0.5
AU,30-08-2020,0.160809008,9,15,0.6
AU,31-08-2020,0.151025911,13,24,0.541666667
AU,01-09-2020,0.182711297,16,12,1.333333333
AU,02-09-2020,0.140359771,16,25,0.64
AU,03-09-2020,0.100020033,14,23,0.608695652
AU,04-09-2020,0.056429835,12,34,0.352941176
AU,05-09-2020,0.18847835,14,20,0.7
AU,06-09-2020,0.205549879,16,18,0.888888889
AU,07-09-2020,0.099300915,14,23,0.608695652
AU,08-09-2020,0.195584015,13,14,0.928571429
AU,09-09-2020,0.207598059,8,14,0.571428571
AU,10-09-2020,0.215850816,6,7,0.857142857
AU,11-09-2020,0.211805556,5,7,0.714285714
AU,12-09-2020,0.179473304,4,7,0.571428571
